Client,Product Predicted,Revenue Predicted
1175,CL,7.0118787862570935
1549,CL,8.459183843763608
448,CC,11.208682544675604
1399,CL,3.9490255295805587
614,CC,6.270693243895292
639,CL,4.158584380622323
575,CL,8.652795282806018
1030,CL,6.018928529310218
1293,CC,11.658395887385012
271,CL,4.670146928028414
1041,CL,4.250234456906542
1364,CC,5.203032886973149
1267,CL,8.362154955549899
236,CL,6.483403193687908
729,CL,6.219859505038457
1538,CC,15.892916196672843
492,CL,5.724591472284492
438,CL,6.08875556443213
873,CL,13.29986304575588
682,CL,9.369517076288744
1600,CL,7.428819325888993
73,CC,6.956193664368345
1246,CL,4.8393798103162196
22,CL,1.4828888913695715
408,CL,9.589619716682368
1413,MF,1.989037961301437
1571,MF,2.1310417461885818
529,CC,2.4575190295928677
43,CC,9.893976073892038
1383,MF,1.887666546612362
127,CC,2.5917870216425154
1302,MF,2.028398200223934
890,MF,2.086498605116403
648,MF,0.5466059494451914
1408,CC,3.470799287798103
1396,CC,6.978711268694391
525,MF,1.8512985114148812
1042,CC,6.25258296190147
1149,MF,4.202437606405631
1277,MF,3.9540135789720567
1040,MF,4.736019673269855
544,MF,7.55574012238173
1091,CL,6.321341678872303
1220,CL,6.750705935573566
102,CL,7.125039897448217
557,CL,6.397826788455125
1329,CL,8.127047170898583
693,CL,2.780387866949267
1564,CL,7.890181812511954
1484,MF,3.092850034535934
911,CL,2.6504021363937276
500,CL,8.26752234288579
611,CL,7.44807593461878
1104,CL,5.348029566220508
143,MF,1.8993533440799855
1470,CL,6.3908256024774035
775,CL,20.03579083365406
1585,CL,6.627527293802371
477,CL,6.646395013203306
1033,CL,6.568789150850124
632,CL,8.479077951466024
385,CC,8.948274265683505
219,CC,7.720386051264662
1344,CC,6.910792990160947
721,CC,4.923521083569241
1170,CC,2.083256377933857
1362,CC,4.357902855954629
322,CC,0.6504917496603013
938,CC,1.5608644545714099
478,CC,7.069803005441931
1151,CC,5.475554204874195
1178,CC,2.177071595926134
1303,CC,2.8346486014483805
569,CC,6.495418217309877
1505,CC,3.923107076088501
634,CC,2.8387338996465354
963,CC,3.6669848431624468
782,CC,0.4311212210629234
45,CC,1.747734171035985
1348,CC,1.6982131014481454
420,CC,1.8292104701127045
1406,CC,4.129767598113295
37,CC,5.573545318710067
1330,CC,0.25803879487076586
1367,CC,3.6181100707360425
601,CC,0.5445733308429608
68,CC,9.976871503634058
705,CC,3.7605759030031067
83,CC,3.0813605322940267
230,CC,8.379731781445084
924,CC,26.878971619888837
694,CC,0.8885001282984957
734,CC,1.469197930267672
793,CC,3.5374446244546838
908,CC,3.363868583511869
372,CC,5.002718999469144
455,CC,1.403221344465539
827,CC,6.040053478910604
1384,CC,0.5531014510199803
1287,CC,6.38492301786158
1165,CC,4.079887801080905
1103,CC,-0.9772592569911369
1368,CC,2.233222712332841
449,CC,7.60450640810929
1224,CC,-2.3000428399494615
942,CC,1.8305907784065938
33,CC,3.223502234838584
1522,CC,1.2623639684364782
1094,CC,-0.3286139545143545
666,CC,2.415508846974987
895,CC,2.7264741390200196
964,CC,3.3043308588828832
613,CC,3.3408031605284965
1534,CC,0.8959205937777361
1417,CC,4.086236677711555
93,CC,5.883895779565551
275,CC,3.903471826954999
867,CC,6.559136983196954
171,CC,4.347871632655833
1167,CC,7.942648290681221
1155,CC,3.764672945604799
479,CC,4.642301030194125
520,CC,0.3263164827502747
137,CC,0.48852833359197856
351,CC,2.889466459963523
658,CC,2.4569968027557
946,CC,0.6800281275198674
29,CC,7.620327809892011
1043,CC,6.589080608489267
48,CC,6.173762750841712
465,CC,7.21472873770244
475,CC,4.385115041039089
1144,CC,6.5309308785939075
96,CC,1.0778275370853778
184,CC,1.707962872011946
1213,CC,7.493925829640722
1545,CC,2.234495401535151
388,CC,1.4054572015833227
1415,CC,2.6492297012647987
926,CC,6.900067952932392
1266,CC,6.407901121742508
629,CC,3.0509384750856485
1573,CC,7.934622278306393
982,CC,3.1997763341499246
568,CC,1.135880195637587
563,CC,6.770611475582776
21,CC,1.3659692340378127
285,CC,3.665127919778077
591,CC,6.72948999708896
1554,CC,3.7490447961211557
46,CC,1.7908901374096922
1369,CC,1.8654398601551274
649,CC,7.00352245452715
